 t       A(O)      A(F)
 5.63  8.618428  4.635982
 5.64  8.618428  4.635982
 5.65  8.618428  4.635982
 5.66  8.618434  4.635982
 5.67  8.618434  4.635944
 5.68  8.618440  4.635944
 5.69  8.618440  4.635944
 5.70  8.618440  4.635944
 5.71  8.618450  4.635949
 5.72  8.618450  4.635949
 5.73  8.618457  4.635912
 5.74  8.618457  4.635912
 5.75  8.618463  4.635912
 5.76  8.618469  4.635912
 5.77  8.618469  4.635912
 5.78  8.618479  4.635916
 5.79  8.618486  4.635916
 5.80  8.618492  4.635916
 5.81  8.618492  4.635879
 5.82  8.618498  4.635879
 5.83  8.618504  4.635879
 5.84  8.618510  4.635879
 5.85  8.618521  4.635883
 5.86  8.618527  4.635883
 5.87  8.618527  4.635883
 5.88  8.618533  4.635883
 5.89  8.618539  4.635883
 5.90  8.618545  4.635883
 5.91  8.618556  4.635888
 5.92  8.618562  4.635888
 5.93  8.618568  4.635888
 5.94  8.618580  4.635888
 5.95  8.618586  4.635888
 5.96  8.618593  4.635888
 5.97  8.618603  4.635855
 5.98  8.618609  4.635855
 5.99  8.618615  4.635855
 6.00  8.618628  4.635855
 6.01  8.618634  4.635855
 6.02  8.618644  4.635859
 6.03  8.618651  4.635859
 6.04  8.618663  4.635859
 6.05  8.618669  4.635859
 6.06  8.618675  4.635859
 6.07  8.618687  4.635859
 6.08  8.618698  4.635864
 6.09  8.618704  4.635864
 6.10  8.618716  4.635864
 6.11  8.618722  4.635901
 6.12  8.618735  4.635901
 6.13  8.618745  4.635906
 6.14  8.618758  4.635906
 6.15  8.618764  4.635906
 6.16  8.618776  4.635906
 6.17  8.618782  4.635906
 6.18  8.618799  4.635910
 6.19  8.618805  4.635910
 6.20  8.618817  4.635910
 6.21  8.618823  4.635910
 6.22  8.618836  4.635910
 6.23  8.618852  4.635914
 6.24  8.618858  4.635914
 6.25  8.618871  4.635914
 6.26  8.618883  4.635914
 6.27  8.618889  4.635914
 6.28  8.618901  4.635914
 6.29  8.618918  4.635956
 6.30  8.618924  4.635956
 6.31  8.618936  4.635956
 6.32  8.618949  4.635956
 6.33  8.618965  4.635960
 6.34  8.618971  4.635960
 6.35  8.618984  4.635960
 6.36  8.618996  4.635960
 6.37  8.619008  4.635960
 6.38  8.619025  4.635965
 6.39  8.619031  4.635965
 6.40  8.619043  4.636002
 6.41  8.619056  4.636002
 6.42  8.619068  4.636002
 6.43  8.619085  4.636006
 6.44  8.619097  4.636006
 6.45  8.619109  4.636006
 6.46  8.619121  4.636006
 6.47  8.619127  4.636006
 6.48  8.619144  4.636011
 6.49  8.619156  4.636048
 6.50  8.619169  4.636048
 6.51  8.619181  4.636048
 6.52  8.619193  4.636048
 6.53  8.619210  4.636053
 6.54  8.619222  4.636053
 6.55  8.619234  4.636053
 6.56  8.619247  4.636090
 6.57  8.619263  4.636094
 6.58  8.619276  4.636094
 6.59  8.619288  4.636094
 6.60  8.619300  4.636094
 6.61  8.619312  4.636094
 6.62  8.619329  4.636099
 6.63  8.619341  4.636136
 6.64  8.619354  4.636136
 6.65  8.619366  4.636136
 6.66  8.619378  4.636136
 6.67  8.619395  4.636140
 6.68  8.619407  4.636140
 6.69  8.619419  4.636140
 6.70  8.619431  4.636177
 6.71  8.619448  4.636182
 6.72  8.619460  4.636182
 6.73  8.619473  4.636182
 6.74  8.619485  4.636182
 6.75  8.619497  4.636182
 6.76  8.619514  4.636223
 6.77  8.619526  4.636223
 6.78  8.619538  4.636223
 6.79  8.619551  4.636223
 6.80  8.619563  4.636223
 6.81  8.619579  4.636228
 6.82  8.619592  4.636228
 6.83  8.619604  4.636265
 6.84  8.619616  4.636265
 6.85  8.619628  4.636265
 6.86  8.619645  4.636269
 6.87  8.619657  4.636269
 6.88  8.619670  4.636269
 6.89  8.619682  4.636307
 6.90  8.619699  4.636311
 6.91  8.619711  4.636311
 6.92  8.619723  4.636311
 6.93  8.619735  4.636311
 6.94  8.619747  4.636311
 6.95  8.619770  4.636353
 6.96  8.619783  4.636353
 6.97  8.619795  4.636353
 6.98  8.619807  4.636353
 6.99  8.619819  4.636353
 7.00  8.619836  4.636357
 7.01  8.619848  4.636394
 7.02  8.619860  4.636394
 7.03  8.619873  4.636394
 7.04  8.619885  4.636394
 7.05  8.619908  4.636399
 7.06  8.619920  4.636436
 7.07  8.619932  4.636436
 7.08  8.619944  4.636436
 7.09  8.619961  4.636440
 7.10  8.619973  4.636440
 7.11  8.619985  4.636477
