 t       A(O)      A(F)      fg       z
 4.11  8.807216  4.760720  0.677720  1.327778
 4.12  8.807089  4.760601  0.677930  1.324320
 4.13  8.806999  4.760506  0.678130  1.320873
 4.14  8.806912  4.760386  0.678340  1.317439
 4.15  8.806822  4.760291  0.678540  1.314016
 4.16  8.806694  4.760201  0.678740  1.310604
 4.17  8.806608  4.760110  0.678940  1.307204
 4.18  8.806517  4.760015  0.679140  1.303815
 4.19  8.806431  4.759896  0.679330  1.300438
 4.20  8.806345  4.759805  0.679520  1.297071
 4.21  8.806254  4.759710  0.679720  1.293716
 4.22  8.806168  4.759619  0.679910  1.290372
 4.23  8.806081  4.759528  0.680090  1.287040
 4.24  8.805995  4.759438  0.680280  1.283718
 4.25  8.805904  4.759342  0.680470  1.280407
 4.26  8.805818  4.759252  0.680650  1.277107
 4.27  8.805731  4.759161  0.680830  1.273818
 4.28  8.805645  4.759099  0.681010  1.270539
 4.29  8.805558  4.759008  0.681190  1.267272
 4.30  8.805472  4.758917  0.681370  1.264015
 4.31  8.805381  4.758822  0.681540  1.260768
 4.32  8.805335  4.758731  0.681720  1.257532
 4.33  8.805249  4.758669  0.681890  1.254307
 4.34  8.805162  4.758578  0.682060  1.251092
 4.35  8.805076  4.758487  0.682230  1.247887
 4.36  8.805030  4.758425  0.682400  1.244693
 4.37  8.804944  4.758334  0.682570  1.241509
 4.38  8.804857  4.758272  0.682730  1.238335
 4.39  8.804771  4.758181  0.682900  1.235171
 4.40  8.804725  4.758119  0.683060  1.232017
 4.41  8.804639  4.758028  0.683220  1.228874
 4.42  8.804552  4.757966  0.683380  1.225740
 4.43  8.804506  4.757875  0.683540  1.222617
 4.44  8.804420  4.757813  0.683700  1.219503
 4.45  8.804374  4.757750  0.683850  1.216399
 4.46  8.804287  4.757659  0.684010  1.213304
 4.47  8.804242  4.757597  0.684160  1.210220
 4.48  8.804155  4.757535  0.684310  1.207145
 4.49  8.804110  4.757444  0.684470  1.204080
 4.50  8.804023  4.757382  0.684620  1.201024
 4.51  8.803977  4.757319  0.684760  1.197978
 4.52  8.803895  4.757262  0.684910  1.194941
 4.53  8.803849  4.757199  0.685060  1.191914
 4.54  8.803763  4.757137  0.685200  1.188896
 4.55  8.803717  4.757046  0.685350  1.185888
 4.56  8.803671  4.756984  0.685490  1.182888
 4.57  8.803585  4.756921  0.685630  1.179898
 4.58  8.803543  4.756864  0.685770  1.176917
 4.59  8.803498  4.756801  0.685910  1.173946
 4.60  8.803411  4.756739  0.686050  1.170983
 4.61  8.803365  4.756677  0.686180  1.168029
 4.62  8.803320  4.756614  0.686320  1.165085
 4.63  8.803237  4.756556  0.686450  1.162149
 4.64  8.803192  4.756494  0.686590  1.159222
 4.65  8.803146  4.756461  0.686720  1.156304
 4.66  8.803105  4.756403  0.686850  1.153395
 4.67  8.803018  4.756340  0.686980  1.150495
 4.68  8.802972  4.756278  0.687110  1.147603
 4.69  8.802926  4.756216  0.687240  1.144720
 4.70  8.802885  4.756158  0.687370  1.141846
 4.71  8.802839  4.756124  0.687490  1.138980
 4.72  8.802794  4.756062  0.687620  1.136123
 4.73  8.802711  4.756004  0.687740  1.133274
 4.74  8.802666  4.755971  0.687860  1.130434
 4.75  8.802620  4.755908  0.687990  1.127602
 4.76  8.802579  4.755850  0.688110  1.124779
 4.77  8.802533  4.755817  0.688230  1.121963
 4.78  8.802487  4.755754  0.688350  1.119157
 4.79  8.802446  4.755696  0.688470  1.116358
 4.80  8.802400  4.755663  0.688580  1.113568
 4.81  8.802359  4.755605  0.688700  1.110785
 4.82  8.802313  4.755571  0.688820  1.108011
 4.83  8.802272  4.755513  0.688930  1.105245
 4.84  8.802226  4.755451  0.689040  1.102487
 4.85  8.802180  4.755417  0.689160  1.099738
 4.86  8.802139  4.755360  0.689270  1.096996
 4.87  8.802093  4.755326  0.689380  1.094262
 4.88  8.802052  4.755297  0.689490  1.091536
 4.89  8.802006  4.755234  0.689600  1.088817
 4.90  8.801965  4.755205  0.689710  1.086107
 4.91  8.801919  4.755143  0.689810  1.083404
 4.92  8.801878  4.755114  0.689920  1.080709
 4.93  8.801832  4.755080  0.690030  1.078022
 4.94  8.801832  4.755022  0.690130  1.075343
 4.95  8.801786  4.754989  0.690240  1.072671
 4.96  8.801745  4.754931  0.690340  1.070006
 4.97  8.801699  4.754897  0.690440  1.067350
 4.98  8.801658  4.754868  0.690540  1.064700
 4.99  8.801612  4.754835  0.690650  1.062059
 5.00  8.801612  4.754777  0.690750  1.059424
 5.01  8.801566  4.754743  0.690850  1.056797
 5.02  8.801525  4.754714  0.690940  1.054178
 5.03  8.801479  4.754681  0.691040  1.051566
 5.04  8.801438  4.754623  0.691140  1.048961
 5.05  8.801438  4.754594  0.691240  1.046363
 5.06  8.801392  4.754560  0.691330  1.043773
 5.07  8.801350  4.754531  0.691430  1.041190
 5.08  8.801305  4.754497  0.691520  1.038614
 5.09  8.801305  4.754468  0.691620  1.036045
 5.10  8.801263  4.754410  0.691710  1.033483
 5.11  8.801217  4.754377  0.691800  1.030929
 5.12  8.801176  4.754348  0.691890  1.028381
 5.13  8.801171  4.754314  0.691980  1.025840
 5.14  8.801130  4.754285  0.692070  1.023307
 5.15  8.801089  4.754256  0.692160  1.020780
 5.16  8.801084  4.754222  0.692250  1.018260
 5.17  8.801043  4.754193  0.692340  1.015747
 5.18  8.801002  4.754164  0.692430  1.013241
 5.19  8.800997  4.754131  0.692510  1.010742
 5.20  8.800956  4.754102  0.692600  1.008250
 5.21  8.800914  4.754072  0.692690  1.005764
 5.22  8.800910  4.754039  0.692770  1.003285
 5.23  8.800868  4.754010  0.692850  1.000812
 5.24  8.800868  4.753981  0.692940  0.998347
 5.25  8.800822  4.753947  0.693020  0.995888
 5.26  8.800781  4.753918  0.693100  0.993435
 5.27  8.800781  4.753889  0.693180  0.990990
 5.28  8.800735  4.753855  0.693260  0.988550
 5.29  8.800735  4.753826  0.693340  0.986117
 5.30  8.800694  4.753797  0.693420  0.983691
 5.31  8.800689  4.753764  0.693500  0.981271
 5.32  8.800648  4.753735  0.693580  0.978858
 5.33  8.800606  4.753735  0.693660  0.976451
 5.34  8.800606  4.753705  0.693730  0.974050
 5.35  8.800561  4.753672  0.693810  0.971656
 5.36  8.800561  4.753643  0.693890  0.969268
 5.37  8.800519  4.753614  0.693960  0.966886
 5.38  8.800515  4.753580  0.694040  0.964510
 5.39  8.800473  4.753551  0.694110  0.962141
 5.40  8.800473  4.753551  0.694180  0.959778
 5.41  8.800432  4.753522  0.694260  0.957421
 5.42  8.800427  4.753488  0.694330  0.955070
 5.43  8.800386  4.753459  0.694400  0.952725
 5.44  8.800386  4.753430  0.694470  0.950387
 5.45  8.800344  4.753430  0.694540  0.948054
 5.46  8.800340  4.753396  0.694610  0.945728
 5.47  8.800298  4.753367  0.694680  0.943407
 5.48  8.800298  4.753338  0.694750  0.941093
 5.49  8.800257  4.753338  0.694820  0.938784
 5.50  8.800257  4.753309  0.694890  0.936481
 5.51  8.800253  4.753275  0.694960  0.934185
 5.52  8.800211  4.753275  0.695030  0.931894
 5.53  8.800211  4.753246  0.695090  0.929609
 5.54  8.800170  4.753217  0.695160  0.927329
 5.55  8.800170  4.753217  0.695230  0.925056
 5.56  8.800124  4.753183  0.695290  0.922788
